pX,pY,pZ
26.02452, -18.37672, 65.09122
26.08455, -18.66432, 64.7591
26.14779, -18.90749, 64.45798
26.21801, -19.06326, 64.22092
26.21801, -19.06326, 64.22092
26.17569, -19.48664, 63.84556
26.14997, -19.64107, 63.61735
26.12416, -19.79505, 63.38843
26.00679, -19.90564, 63.20263
25.89324, -19.97306, 63.04945
25.89324, -19.97306, 63.04945
25.5642, -20.04599, 62.6875
25.431, -20.12741, 62.35149
25.29069, -20.1467, 61.9481
25.24676, -20.21711, 61.54803
25.20825, -20.15021, 61.19737
25.20825, -20.15021, 61.19737
25.12493, -20.15129, 60.4387
25.07642, -20.11526, 59.99695
25.01817, -20.11046, 59.46653
24.95763, -20.05291, 58.91522
24.89663, -19.99434, 58.35978
24.89663, -19.99434, 58.35978
24.88551, -19.9562, 57.403
24.93532, -19.97699, 57.00396
24.98461, -19.99712, 56.60311
25.03733, -19.97572, 56.23604
25.1758, -20.08662, 55.80381
25.1758, -20.08662, 55.80381
25.27661, -20.27561, 55.04482
25.33145, -20.3541, 54.70846
25.38387, -20.52339, 54.35323
25.43789, -20.60054, 54.01455
25.58496, -20.72815, 53.6829
25.58496, -20.72815, 53.6829
25.82888, -20.72408, 53.39396
25.90713, -20.70198, 53.27273
25.97877, -20.66876, 53.09591
26.14553, -20.5956, 52.94466
26.14107, -20.49366, 52.90685
26.14107, -20.49366, 52.90685
26.13815, -19.87562, 52.88212
26.22367, -19.20716, 52.8254
26.3948, -18.2963, 52.71367
26.66398, -17.0236, 52.65197
27.0381, -15.54042, 52.6949
27.0381, -15.54042, 52.6949
28.30298, -11.53872, 53.20209
29.08081, -9.218549, 53.48284
29.6733, -6.985654, 53.74924
30.07527, -4.882797, 53.97144
30.1977, -2.728323, 54.18765
30.1977, -2.728323, 54.18765
29.88153, 0.7545811, 54.60935
29.43413, 2.228178, 54.75416
28.8848, 3.615236, 54.83536
28.23322, 4.822912, 54.84613
27.47644, 5.806907, 54.75585
27.47644, 5.806907, 54.75585
25.95936, 7.634118, 54.51417
25.28974, 8.294538, 54.34125
24.61102, 8.913602, 54.07302
23.93655, 9.483427, 53.82602
23.26566, 9.913391, 53.59556
23.26566, 9.913391, 53.59556
22.12301, 10.44367, 53.23488
21.6558, 10.45069, 53.16137
21.18229, 10.27988, 53.01687
20.69979, 9.888419, 52.7681
20.30609, 9.454731, 52.47584
20.30609, 9.454731, 52.47584
19.62279, 8.175199, 51.99897
19.42418, 7.509673, 51.81788
19.32377, 6.793329, 51.71339
19.22678, 6.210237, 51.64701
19.12972, 5.627424, 51.57906
19.12972, 5.627424, 51.57906
19.0267, 4.235129, 51.44146
19.01604, 3.52104, 51.31834
18.90604, 2.68137, 51.09785
18.79594, 1.8432, 50.8739
18.59131, 1.102369, 50.60278
18.59131, 1.102369, 50.60278
18.27171, -0.4633017, 50.03408
18.07137, -1.068192, 49.79866
17.95585, -1.664758, 49.49287
17.74682, -2.163441, 49.14148
17.62544, -2.612263, 48.7553
17.62544, -2.612263, 48.7553
17.27856, -3.569866, 47.78811
17.05646, -4.037002, 47.24171
16.82814, -4.445111, 46.60406
16.5153, -4.810319, 46.00605
16.29726, -5.093737, 45.47185
16.29726, -5.093737, 45.47185
15.95445, -5.528335, 44.43771
15.73074, -5.836231, 43.79398
15.50506, -6.180103, 43.10843
15.28022, -6.520748, 42.41863
15.14918, -6.915149, 41.80931
15.14918, -6.915149, 41.80931
14.96644, -7.941372, 40.47153
14.74388, -8.485953, 39.76648
14.51665, -9.100363, 38.97772
14.29585, -9.635188, 38.26278
13.99579, -10.17624, 37.61544
13.99579, -10.17624, 37.61544
13.40588, -11.30468, 36.40138
13.10201, -11.94095, 35.61939
12.79291, -12.59471, 34.72308
12.56969, -13.15851, 33.82956
12.26392, -13.79788, 32.91992
12.26392, -13.79788, 32.91992
11.98605, -15.05421, 31.06097
11.85025, -15.63734, 30.1646
11.80122, -16.14679, 29.34334
11.67608, -16.5844, 28.60843
11.4776, -16.79144, 27.99371
11.4776, -16.79144, 27.99371
11.09567, -17.03572, 26.97425
10.90403, -17.04523, 26.42952
10.63423, -16.97437, 25.90362
10.36739, -16.74467, 25.4082
10.02675, -16.45107, 25.00212
10.02675, -16.45107, 25.00212
8.979031, -15.73197, 24.75182
8.190124, -15.30549, 24.90978
7.240967, -14.87865, 25.06959
6.13299, -14.54453, 25.28526
4.945981, -14.19123, 25.61113
4.945981, -14.19123, 25.61113
3.204239, -13.52213, 26.44319
2.488281, -13.225, 26.84212
1.850236, -12.89319, 27.27954
1.20986, -12.49271, 27.79914
0.7279738, -12.05602, 28.35677
0.7279738, -12.05602, 28.35677
0.1627494, -11.31343, 29.54617
0.1632466, -10.96109, 30.15072
0.08188244, -10.65249, 30.78096
0.08214052, -10.34111, 31.4086
0.0824376, -10.08529, 32.13109
0.0824376, -10.08529, 32.13109
0.08290294, -9.472631, 33.26273
0.1662342, -9.092623, 33.7835
0.3331871, -8.781916, 34.22034
0.5009554, -8.43355, 34.69625
0.8370417, -8.046985, 35.21014
0.8370417, -8.046985, 35.21014
1.599759, -7.464398, 36.40763
1.85733, -7.248155, 36.95648
1.861078, -7.010139, 37.3707
1.948564, -6.798048, 37.67593
1.950066, -6.649668, 37.83475
1.950066, -6.649668, 37.83475
2.038399, -6.5303, 38.19366
2.127018, -6.410243, 38.55161
2.130944, -6.120443, 38.93351
1.964815, -5.754043, 39.39419
1.712716, -5.262942, 39.90419
1.712716, -5.262942, 39.90419
0.5169712, -4.004285, 41.18777
-0.3459699, -3.194424, 41.99202
-1.389859, -2.260486, 42.89794
-2.617602, -1.498337, 43.83195
-3.770109, -1.003726, 44.85053
-3.770109, -1.003726, 44.85053
-6.017783, -0.8796149, 46.81046
-7.107977, -1.067527, 47.64686
-8.298438, -1.398765, 48.54508
-9.325543, -1.79323, 49.58351
-10.35945, -2.319503, 50.5588
-10.35945, -2.319503, 50.5588
-12.18827, -3.352466, 52.62615
-12.88384, -3.753567, 53.61633
-13.4087, -4.079007, 54.72951
-13.94079, -4.411617, 55.88321
-14.28841, -4.645009, 56.98586
-14.28841, -4.645009, 56.98586
-14.89306, -5.387839, 59.11546
-15.04296, -5.828765, 59.96488
-15.18849, -6.357526, 60.73765
-15.31768, -6.903369, 61.25582
-15.33688, -7.371899, 61.54373
-15.33688, -7.371899, 61.54373
-15.36478, -8.434863, 61.96193
-15.37786, -8.94229, 62.15788
-15.38733, -9.443071, 62.29986
-15.39413, -9.842645, 62.40187
-15.39179, -10.27076, 62.36675
-15.39179, -10.27076, 62.36675
-15.37845, -10.91514, 62.16675
-15.36654, -11.22522, 61.98822
-15.35553, -11.44076, 61.82318
-15.3467, -11.61294, 61.69083
-15.52468, -11.82787, 61.51231
-15.52468, -11.82787, 61.51231
-15.78533, -12.25671, 61.16006
-15.96578, -12.33411, 61.02785
-16.05775, -12.37687, 60.98783
-16.15205, -12.37687, 60.98121
-16.24398, -12.41963, 60.94109
-16.24398, -12.41963, 60.94109
-16.33692, -12.36865, 60.91544
-16.33795, -12.27492, 60.92991
-16.33659, -12.22395, 60.91091
-16.33524, -12.17299, 60.89189
-16.4295, -12.17299, 60.88515
-16.4295, -12.17299, 60.88515
-16.70983, -12.21574, 60.83127
-16.80407, -12.21574, 60.82438
-16.80162, -12.25848, 60.79091
-16.88843, -12.38662, 60.68349
-16.96484, -12.54064, 60.43698
-16.96484, -12.54064, 60.43698
-17.27021, -12.96572, 59.4732
